구_동,PC방,가구 소매업,가발 소매업,가방 소매업,가스 충전소,가전제품 소매업,가전제품 수리업,가정용 연료 소매업,가죽/가방/신발 수선업,가축 사료 소매업,건강보조식품 소매업,건물 및 토목 엔지니어링 서비스업,건설/건축자재 소매업,건설기계/장비 대여업,건어물/젓갈 소매업,건축 설계 및 관련 서비스업,건축물 일반 청소업,결혼 상담 서비스업,경양식,경영 컨설팅업,고용 알선업,곡물/곡분 소매업,골프 연습장,곱창 전골/구이,공인노무사,공인회계사,광고 대행업,광고 매체 판매업,광고물 설계/제작업,교육컨설팅업,구내식당,국/탕/찌개류,국수/칼국수,그 외 기타 간이 음식점,그 외 기타 개인/가정용품 수리업,그 외 기타 교육기관,그 외 기타 상품 전문 소매업,그 외 기타 숙박업,그 외 기타 종합 소매업,기념품점,기숙사/고시원,기타 개인/가정용품 대여업,기타 건설/건축자재 소매업,기타 광고 관련 서비스업,기타 교육지원 서비스업,기타 기술/직업 훈련학원,기타 동남아식 전문,기타 법무관련 서비스업,기타 사무 지원 서비스업,기타 산업용 기계/장비 대여업,기타 서양식 음식점,기타 스포츠시설 운영업,기타 엔지니어링 서비스업,기타 여행 보조/예약 서비스업,기타 예술/스포츠 교육기관,기타 오락관련 서비스업,기타 오락장,기타 운송장비 대여업,기타 의류 소매업,기타 의원,기타 일식 음식점,기타 한식 음식점,기타 회계 관련 서비스업,김밥/만두/분식,꽃집,낚시터 운영업,남성 의류 소매업,내과/소아과 의원,냉면/밀면,네일숍,노래방,닭/오리고기 구이/찜,담배/전자담배 소매업,당구장,도시 계획 및 조경 설계 서비스업,독서실/스터디 카페,동물병원,돼지고기 구이/찜,떡/한과,레크리에이션 교육기관,마라탕/훠궈,마사지/안마,만화방,명함/간판/광고물 제작,모터사이클 및 부품 소매업,모터사이클 수리업,목욕탕/사우나,무도 유흥 주점,문구/회화용품 소매업,미술학원,미용실,바둑/장기/체스 경기 운영업,반찬/식료품 소매업,방사선 진단/병리 검사 의원,백반/한정식,버거,번역/통역 서비스업,법무사,베트남식 전문,벽지/장판/마루 소매업,변리사,변호사,복 요리 전문,복권 발행/판매업,복사업,볼링장,부동산 중개/대리업,분류 안된 외국식 음식점,뷔페,비디오방,빵/도넛,사무기기 소매업,사업/무형 재산권 중개업,사업시설 유지·관리 서비스업,사진기/기타 광학기기 소매업,사진촬영업,사회교육시설,산부인과 의원,"산업설비, 운송장비 및 공공장소 청소업",상용 인력 공급 및 인사관리 서비스업,생맥주 전문,생수/음료 소매업,서점,성형외과 의원,세무사,세탁소,셀프 빨래방,소고기 구이/찜,"소독, 구충 및 방제 서비스업",수산물 소매업,수상/해양 레저업,수영장,슈퍼마켓,스쿼시/라켓볼장,스포츠/레크리에이션 용품 대여업,시각 디자인업,시계/귀금속 소매업,시계/귀금속/악기 수리업,시장 조사 및 여론 조사업,신경/정신과 의원,신발 소매업,실/섬유제품 소매업,아이스크림 할인점,아이스크림/빙수,악기 소매업,안경렌즈 소매업,안과 의원,애완동물/애완용품 소매업,액세서리/잡화 소매업,약국,얼음 소매업,여관/모텔,여성 의류 소매업,여행사,예술품 소매업,예식장업,옥외/전시 광고 대행업,외과 의원,외국어학원,요가/필라테스 학원,요리 주점,요양병원,우유 소매업,운동용품 소매업,운전학원,유사 의료업,유아용 의류 소매업,음반/비디오물 대여업,음반/비디오물 소매업,음악학원,의료기기 소매업,의류 대여업,의류/이불 수선업,이비인후과 의원,인테리어 디자인업,일반 유흥 주점,일반병원,일식 면 요리,일식 카레/돈가스/덮밥,일식 회/초밥,임시/일용 인력 공급업,입시·교과학원,자동차 대여업,자동차 부품 소매업,자동차 세차장,자동차 정비소,자전거 소매업,장난감 소매업,장례식장,전/부침개,전기용품/조명장치 소매업,전문자격/고시학원,전시/컨벤션/행사 대행 서비스업,전자 게임장,정육점,제품 디자인업,조경 유지·관리 서비스업,족발/보쌈,종합 스포츠시설,종합병원,주류 소매업,주방/가정용품 소매업,주유소,중고 상품 소매업,중국집,직원 훈련기관,채소/과일 소매업,철물/공구 소매업,청소년 수련시설,체형/비만 관리,치과병원,치과의원,치킨,침구류/커튼 소매업,카페,캠핑/글램핑,컴퓨터 학원,컴퓨터/노트북/프린터 수리업,컴퓨터/사무기기 대여업,컴퓨터/소프트웨어 소매업,타이어 소매업,탁구장,태권도/무술학원,테니스장,토스트/샌드위치/샐러드,파스타/스테이크,패밀리레스토랑,패션/섬유/기타 전문 디자인업,펜션,편의점,포장/충전업,피부 관리실,피부/비뇨기과 의원,피자,한방병원,한복 소매업,한의원,해산물 구이/찜,핸드폰 소매업,핸드폰/통신장비 수리업,행정사,헬스장,호텔/리조트,화장터/묘지/납골당,화장품 소매업,환경 관련 엔지니어링 서비스업,횟집,포토부스 개수,학교 개수,대학교 개수
영등포구 문래동3가,1,1,0,2,0,8,2,0,0,0,3,7,1,1,0,13,7,1,12,79,8,0,7,4,6,4,40,0,6,6,2,19,6,4,0,4,2,0,2,3,1,1,1,0,7,8,0,0,0,3,0,0,14,0,4,1,2,1,17,0,0,1,0,17,4,0,4,1,1,6,5,2,2,6,3,2,4,24,1,1,3,3,0,13,1,0,1,0,2,2,22,0,5,0,60,0,2,2,4,0,2,2,0,4,1,1,27,0,1,0,8,0,2,8,1,20,1,0,3,6,8,0,3,0,23,4,0,0,2,1,0,0,9,0,1,17,3,0,2,0,4,1,0,2,1,5,0,2,2,11,0,0,4,18,4,2,2,0,0,12,23,0,0,6,0,5,1,0,0,1,2,1,2,1,12,1,0,3,3,21,10,7,4,3,6,5,0,1,1,3,0,2,14,0,1,5,1,2,2,0,1,1,2,3,7,7,5,1,1,1,0,4,8,3,60,0,0,5,0,2,0,0,3,1,4,2,0,3,2,15,0,6,2,8,0,0,2,4,7,0,5,10,0,1,14,2,5,0.0,2.0,0.0
영등포구 문래동4가,0,0,0,1,0,3,7,0,0,0,1,0,0,0,0,2,4,0,3,11,0,0,0,1,0,0,10,0,1,0,0,4,3,0,1,0,0,0,0,0,1,0,1,1,4,3,0,0,0,1,0,1,3,0,1,0,0,0,3,0,1,0,0,3,1,0,1,0,0,1,2,1,0,1,0,0,0,8,0,0,0,0,1,2,0,2,0,1,2,2,4,0,0,0,15,0,1,1,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,1,0,5,0,0,1,0,3,0,1,0,3,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,0,5,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,1,0,2,0,4,1,0,0,0,2,1,1,0,1,1,11,0,0,0,0,2,0,3,0,1,2,0,1,0,0,0,0,0,0,5,1,0,6,0,1,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,3,0,1,0.0,0.0,0.0
영등포구 문래동5가,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,7,1,0,0,19,0,0,2,0,2,0,11,1,2,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,1,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,2,1,4,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,2,1,1,0,1,0,0,2,0,1,0,8,0,0,5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,1,2,2,0,0,0,0,0,0,0,5,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1.0,0.0,0.0
영등포구 문래동6가,0,0,0,0,1,0,0,0,0,0,3,11,0,0,0,12,2,1,3,49,2,0,2,0,5,0,25,0,6,1,1,3,0,5,0,4,0,0,1,0,0,3,0,0,3,7,0,1,0,0,1,0,9,1,1,0,1,0,3,0,1,0,0,3,2,0,0,2,0,4,0,0,0,0,2,2,0,2,1,1,0,0,0,4,0,0,0,0,2,1,14,0,1,1,17,0,4,1,2,0,2,2,0,0,1,0,20,0,0,0,4,0,2,2,0,2,0,0,0,0,2,0,0,0,7,4,0,1,0,0,0,0,8,0,0,16,1,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,1,11,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,2,0,0,0,1,6,0,0,0,2,3,2,7,0,1,1,4,0,1,0,0,1,0,5,0,1,21,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6,0,14,0,0,3,1,3,0,0,1,0,1,0,0,11,0,16,1,3,0,3,0,0,1,1,3,0,5,4,0,0,2,1,0,0.0,2.0,0.0
영등포구 신길동,6,8,0,3,0,16,29,4,0,0,17,9,1,2,3,11,36,0,7,44,7,2,9,4,0,4,30,0,8,4,1,41,29,11,10,8,13,2,7,3,36,3,0,3,7,18,1,0,0,3,1,1,8,4,5,5,6,0,38,3,0,2,0,61,15,0,7,7,3,22,60,8,7,18,1,22,11,57,15,3,5,5,0,35,6,4,3,0,9,15,200,2,23,0,139,8,1,2,4,13,3,1,0,16,1,0,191,0,1,0,28,3,5,5,0,22,3,1,10,1,22,1,7,2,26,37,10,5,5,6,0,1,118,0,1,19,14,0,0,1,6,1,1,4,0,14,1,15,7,47,0,42,29,15,5,3,3,3,1,39,68,0,3,7,0,5,2,1,0,10,11,1,14,1,43,11,1,2,2,22,12,62,2,6,11,38,6,4,1,2,8,1,14,2,16,5,0,13,0,1,2,15,7,10,48,4,15,25,2,6,0,14,51,8,130,0,1,7,7,9,0,1,11,4,3,5,0,2,6,86,2,33,5,22,0,2,3,8,28,0,6,29,1,1,38,2,25,0.0,12.0,0.0
영등포구 양평동1가,0,0,0,1,0,0,1,0,0,0,4,2,0,0,0,5,4,0,2,17,0,0,1,0,3,0,3,0,1,0,1,5,6,1,1,1,0,0,1,0,0,2,0,1,1,2,0,0,1,0,0,2,2,1,0,0,1,1,1,0,0,0,0,8,0,0,0,0,0,5,1,3,2,1,1,1,1,6,1,0,0,0,0,7,3,1,0,0,2,3,6,0,0,0,26,2,0,0,0,1,0,0,0,0,0,0,19,0,0,0,5,1,1,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,2,0,0,0,1,2,7,0,0,1,0,0,0,0,0,1,0,0,0,0,6,3,1,2,1,6,2,1,0,3,4,14,2,1,1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,3,1,1,2,0,1,0,0,2,0,19,0,0,1,0,0,0,1,1,0,3,0,0,1,0,2,0,0,0,2,0,0,0,5,1,0,3,1,0,0,2,0,1,0.0,0.0,0.0
영등포구 양평동2가,0,1,0,0,0,1,3,1,0,1,1,2,1,0,0,4,4,0,2,17,1,1,2,3,1,0,11,0,1,2,1,2,3,3,0,1,0,0,1,0,1,0,0,0,2,5,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,6,0,0,1,0,0,2,3,1,0,1,0,1,0,7,0,0,0,0,0,4,1,0,0,0,2,1,11,0,1,0,20,0,1,0,0,0,0,0,0,2,1,0,17,0,0,0,6,1,2,4,0,5,0,0,4,1,2,0,1,0,2,0,1,0,0,2,0,0,7,0,1,7,0,0,2,0,1,0,0,1,0,1,0,0,1,3,0,3,1,3,2,0,0,1,0,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,2,2,2,0,0,1,8,2,1,1,0,1,0,2,0,2,3,0,0,0,0,0,4,0,1,2,1,0,4,0,0,0,1,3,1,17,0,0,0,0,1,0,0,0,0,1,0,0,2,0,8,0,1,0,3,0,0,0,1,4,0,3,3,0,0,4,4,0,0.0,1.0,0.0
영등포구 양평동3가,3,1,1,0,1,5,0,0,0,0,2,7,0,2,0,4,1,0,2,46,2,0,2,0,7,3,26,1,8,1,4,5,5,1,0,4,1,0,0,0,2,2,0,0,5,1,0,1,0,1,0,0,7,0,0,0,1,0,1,0,0,0,0,12,0,0,2,2,0,3,1,0,0,2,1,4,0,5,0,0,1,0,0,11,0,0,0,0,1,0,8,0,1,0,21,3,1,0,2,0,0,3,0,0,0,0,29,0,1,0,6,1,1,4,0,9,2,0,0,3,1,0,0,0,26,1,0,0,3,0,0,0,5,0,0,10,0,0,2,0,0,0,0,1,0,1,0,2,2,2,0,2,2,4,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0,6,5,1,4,2,13,1,1,1,0,1,0,5,0,1,3,0,0,0,0,0,2,1,0,3,5,0,0,0,0,0,2,3,0,33,0,1,4,5,1,0,1,1,1,1,0,0,5,0,16,0,5,0,3,0,0,0,0,5,4,7,6,0,0,7,2,0,0.0,3.0,0.0
영등포구 양평동4가,0,0,0,1,2,2,1,0,0,0,5,1,1,2,0,12,5,0,7,31,0,0,4,0,2,3,26,0,2,1,1,10,6,2,0,7,1,1,0,1,1,2,0,1,5,8,0,0,0,2,0,1,4,1,4,0,0,1,3,1,1,0,0,8,4,0,1,0,0,4,8,1,2,3,1,1,1,16,1,2,1,2,0,4,0,0,0,0,3,3,18,0,8,0,49,2,0,1,2,1,0,1,0,1,0,0,24,0,0,0,8,2,1,6,0,9,0,0,1,2,6,1,1,0,63,6,0,1,0,0,0,0,7,0,2,14,1,0,3,0,0,0,0,1,0,3,0,2,0,4,0,7,3,11,3,0,4,1,0,9,16,0,0,1,0,0,0,0,1,1,1,0,0,0,8,6,0,1,1,13,2,3,1,2,0,6,1,0,1,0,2,0,8,0,1,7,0,2,0,0,0,2,1,0,11,3,2,2,0,1,0,2,6,1,42,0,0,5,1,3,1,0,1,1,3,6,0,4,0,12,0,3,1,8,0,0,0,2,3,0,2,5,1,0,4,0,5,0.0,3.0,0.0
영등포구 양평동5가,0,0,0,0,0,1,1,0,0,0,1,6,0,2,0,22,1,1,3,42,0,0,0,0,0,0,33,0,6,0,2,1,3,0,1,4,1,0,2,0,1,1,0,1,1,3,0,0,0,5,0,0,8,3,2,2,0,1,2,0,0,0,0,4,1,0,0,1,0,1,1,0,0,1,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,9,0,2,0,18,1,1,0,0,0,0,1,0,0,0,0,22,0,0,0,10,1,2,0,0,5,1,0,1,1,2,0,1,0,12,1,2,2,1,0,0,0,3,0,0,19,1,0,4,0,0,1,0,1,0,0,0,2,1,4,0,0,0,7,1,0,2,0,0,2,4,0,0,1,0,0,0,0,0,2,0,2,0,0,10,0,0,1,0,2,2,1,2,0,4,8,0,0,0,0,0,0,11,0,0,8,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,24,0,0,1,1,4,0,0,0,0,1,0,0,4,0,13,0,4,0,2,0,0,1,0,3,1,0,2,1,0,2,0,3,0.0,0.0,0.0
영등포구 양평동6가,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,4,0,0,0,10,0,0,0,0,0,0,11,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,2,0,0,4,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,4,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,1,2,3,1,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
영등포구 양화동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
영등포구 여의도동,2,3,0,8,1,10,3,1,3,0,23,18,0,3,0,39,12,10,80,1152,36,1,21,11,23,54,229,3,37,26,37,81,53,17,3,29,9,0,8,1,0,9,1,10,32,16,1,5,6,22,3,2,16,3,7,2,4,12,79,6,0,1,2,92,23,0,35,3,7,27,6,8,10,7,4,7,3,73,5,1,7,20,0,27,1,0,5,0,20,7,66,0,12,2,426,13,27,10,28,1,9,56,3,3,4,1,224,7,7,0,50,2,42,30,1,21,3,4,3,10,39,3,9,1,112,7,0,10,5,1,6,0,47,1,11,32,17,1,77,3,16,4,1,4,0,29,0,6,4,48,0,5,58,74,15,8,9,6,5,44,91,0,0,19,1,7,9,0,1,4,3,4,9,0,24,67,1,8,9,137,32,27,3,7,5,4,3,2,2,3,1,0,56,0,2,3,3,8,1,1,11,9,4,6,77,28,4,7,0,9,0,26,43,4,321,1,1,13,6,13,0,1,4,5,19,5,2,4,5,107,0,48,19,45,0,3,11,20,9,5,32,24,7,4,47,11,21,0.0,6.0,0.0
영등포구 영등포동,2,2,0,17,0,4,3,0,0,0,6,0,0,0,0,1,4,0,3,14,5,0,1,4,0,0,1,0,2,1,0,7,5,3,2,4,1,3,0,0,12,0,0,0,2,1,0,0,0,2,1,0,3,2,0,2,5,0,83,1,0,0,0,12,1,0,23,1,0,5,12,0,4,1,0,7,1,13,2,1,3,2,1,3,0,1,1,0,4,0,22,0,5,1,31,1,0,1,2,0,0,0,0,1,0,0,20,0,1,0,12,1,0,0,0,7,1,0,0,0,1,0,0,0,1,3,1,3,1,1,0,0,25,0,0,2,8,2,0,0,24,0,0,1,0,4,0,2,4,9,0,4,81,9,1,0,0,0,0,7,8,0,0,6,0,0,15,0,1,0,4,0,8,0,5,0,0,0,1,5,1,5,0,0,3,1,1,0,1,0,0,0,1,1,4,1,0,1,0,0,2,4,2,0,8,0,0,3,0,1,0,3,8,2,23,0,0,0,1,1,0,0,0,2,2,1,0,0,1,15,0,5,0,8,0,0,1,2,11,2,4,3,0,0,7,0,2,0.0,2.0,0.0
영등포구 영등포동1가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,1,1,1,0,2,0,1,0.0,0.0,0.0
영등포구 영등포동2가,0,2,1,0,0,1,3,0,0,0,1,3,0,32,0,3,2,0,1,9,0,0,1,0,0,0,5,0,1,2,2,4,0,0,0,1,0,0,0,0,4,0,0,1,2,2,0,0,2,0,0,1,2,0,0,1,0,3,2,0,0,0,0,4,0,0,0,0,0,0,1,2,0,2,0,0,0,2,1,3,0,1,0,3,0,0,1,0,0,0,5,0,5,0,15,0,0,0,0,3,0,1,1,2,2,0,11,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,2,3,0,1,1,2,0,0,4,0,1,3,0,0,1,0,0,1,0,0,0,0,0,2,0,3,0,4,0,1,2,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,5,0,3,2,1,0,0,0,0,0,0,6,0,2,2,0,0,21,0,0,0,0,1,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0.0,0.0,0.0
영등포구 영등포동3가,13,0,1,7,0,1,2,0,0,0,1,0,0,0,0,3,0,1,3,13,2,0,1,8,0,0,2,0,0,1,1,12,4,6,0,1,4,0,1,1,12,0,0,0,0,5,0,0,1,1,0,2,0,0,0,1,9,0,41,0,1,1,0,9,0,0,6,0,2,5,23,2,4,5,0,0,0,29,0,0,0,6,0,2,0,0,0,2,1,0,12,1,0,0,47,0,1,3,0,0,0,1,1,3,1,1,21,0,0,2,3,0,0,1,1,7,0,1,0,0,16,0,1,1,2,1,1,8,1,0,0,0,9,0,0,0,9,0,0,1,12,0,0,0,0,4,0,1,9,7,0,42,55,5,0,0,0,0,0,3,39,0,0,2,0,2,0,0,0,0,1,0,1,1,1,51,0,1,0,12,1,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,5,0,0,0,2,0,2,15,1,1,1,0,5,1,7,10,0,20,0,1,2,0,2,0,0,0,3,0,0,0,0,1,20,0,8,6,4,1,0,2,8,8,0,2,0,4,0,15,0,6,2.0,0.0,0.0
영등포구 영등포동4가,0,1,0,17,0,3,0,0,1,0,3,0,0,1,0,0,3,0,4,12,3,0,0,1,0,1,5,0,1,0,3,5,2,3,1,1,2,0,2,0,5,0,0,0,1,8,1,0,0,0,0,0,0,1,1,0,2,0,108,0,0,0,0,12,1,0,26,1,0,1,3,1,2,3,0,0,0,6,0,1,3,0,0,78,0,0,0,0,3,0,14,0,0,0,33,1,0,2,5,1,0,0,0,1,1,0,8,1,0,0,11,0,0,0,0,6,0,0,0,0,4,0,0,2,3,1,0,1,0,0,0,0,9,0,0,1,8,0,0,0,37,2,0,0,0,10,0,2,0,14,0,4,58,3,2,0,0,0,1,2,10,1,0,3,0,1,16,0,0,1,5,0,10,0,0,0,2,0,1,13,3,0,1,0,2,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,0,11,0,0,0,0,2,0,3,0,0,23,0,2,0,0,1,0,0,0,0,2,0,3,1,1,9,0,5,6,5,0,3,1,3,4,0,0,0,3,0,8,0,3,0.0,0.0,0.0
영등포구 영등포동5가,3,2,1,1,0,1,3,0,1,1,4,1,0,1,5,1,7,1,1,7,5,0,0,0,0,0,3,0,2,2,1,5,0,2,0,0,6,1,0,2,6,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,13,0,0,0,0,7,5,0,19,0,0,1,9,1,0,3,0,0,0,3,2,4,0,1,0,1,0,0,1,1,2,0,8,0,5,0,42,0,0,1,0,1,0,0,0,5,0,0,22,0,0,0,3,0,1,1,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,14,0,0,0,3,0,0,0,9,1,0,0,1,1,0,0,4,7,0,8,25,1,0,0,1,0,0,1,8,0,0,2,0,0,0,0,0,1,7,0,6,0,1,6,0,0,0,2,2,0,0,0,2,0,0,1,0,2,0,0,1,3,4,0,0,0,0,0,0,4,0,0,2,0,2,1,0,1,0,1,1,9,5,0,0,4,1,1,0,0,0,0,0,1,0,1,0,4,0,2,1,1,0,7,0,0,5,0,1,0,0,0,10,0,2,0.0,0.0,0.0
영등포구 영등포동6가,1,0,0,0,0,0,0,1,0,0,3,0,0,0,2,4,1,0,2,14,4,0,1,1,0,0,7,0,2,1,0,6,2,0,0,1,1,1,1,0,4,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,1,0,0,0,4,0,0,0,1,0,1,6,1,1,1,0,3,0,1,0,1,1,1,0,3,0,3,0,0,2,0,5,0,1,0,31,0,1,0,1,1,0,0,0,1,0,0,19,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,2,1,5,2,1,0,0,0,0,0,6,0,2,2,0,0,2,0,2,0,0,0,0,1,0,0,0,5,0,12,0,7,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,5,1,0,5,0,2,0,0,0,2,0,3,1,1,1,1,0,0,0,3,4,0,11,0,0,3,0,1,0,1,0,1,0,1,1,1,0,4,0,1,0,1,0,1,1,1,4,1,0,0,0,0,1,0,1,0.0,0.0,0.0
영등포구 영등포동7가,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,3,1,0,5,11,1,0,1,0,0,0,10,0,5,0,2,3,2,3,0,2,3,0,0,0,1,0,0,2,1,2,0,0,1,0,0,0,2,0,0,1,0,1,5,0,0,1,0,9,2,0,0,0,1,8,2,0,0,1,0,1,2,12,0,1,2,1,0,4,0,0,0,0,2,0,14,0,1,0,31,1,0,0,0,1,0,0,0,0,0,0,21,0,0,0,11,0,0,2,0,3,0,0,0,0,6,0,2,0,2,2,2,3,0,1,0,0,8,0,0,7,0,1,3,0,0,0,0,1,0,0,0,1,1,1,0,1,0,4,4,0,1,0,0,1,9,0,0,5,0,2,1,0,0,2,1,0,2,0,0,1,0,0,2,8,0,1,0,3,2,3,2,0,1,0,0,0,1,0,1,3,0,4,0,1,0,1,1,0,7,0,0,1,1,0,0,0,13,1,28,0,0,0,0,1,0,0,1,1,2,3,0,0,0,8,0,10,0,4,0,0,0,1,1,0,0,4,0,0,3,1,0,0.0,1.0,0.0
영등포구 영등포동8가,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,2,20,2,0,2,0,0,0,12,0,2,0,2,4,2,0,1,0,1,0,0,1,0,1,0,0,2,1,0,0,0,1,1,0,3,0,1,0,0,0,2,0,0,1,0,5,0,0,0,0,0,1,0,1,0,3,1,1,1,8,0,0,0,0,0,4,0,1,0,0,0,0,6,0,0,0,12,0,2,0,3,1,0,0,0,1,0,0,16,0,0,0,2,0,2,0,0,2,0,0,0,1,0,0,1,1,4,1,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,1,3,0,0,1,5,0,0,1,0,1,8,2,1,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,5,2,3,1,3,4,17,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,1,2,0,18,0,0,0,1,2,1,1,0,0,0,1,0,0,0,7,0,3,0,8,0,0,1,1,2,0,0,4,0,0,3,1,1,0.0,0.0,0.0
