상가업소번호,상호명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번주소,도로명코드,도로명,도로명주소,구우편번호,신우편번호,경도,위도,시,구,동,그외주소,구_동,학교,술집,노래방,다른 포토부스 개수,Closest_Location_1,Closest_Location_2,Closest_Location_3,Fee_1,Fee_2,Fee_3,distance_1,distance_2,distance_3,estimated_fee
MA010120220810239398,수스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11215,광진구,11215750,중곡2동,1121510100,중곡동,1121510100100470024,서울특별시 광진구 중곡동 47-24,112153104007,서울특별시 광진구 능동로,서울특별시 광진구 능동로 352-1,143885,4927,127.081738272417,37.5608082240834,서울특별시,광진구,중곡동,47-24,광진구 중곡동,27,215,89,0,군자,건대입구,뚝섬,32.1,46.7,51.0,9363.783332598785,9401.725026246839,6466.902256585571,43.70800936764289
MA010120220807804015,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11620,관악구,11620645,서원동,1162010200,신림동,1162010200116400007,서울특별시 관악구 신림동 1640-7,116202000003,서울특별시 관악구 남부순환로,서울특별시 관악구 남부순환로 1606,151930,8776,126.929072840718,37.4839154895354,서울특별시,관악구,신림동,1640-7,관악구 신림동,33,355,120,0,신림역,서울대입구역,독산/시흥,70.9,60.6,31.2,11073.40354745785,9380.494753464694,12022.039123434954,54.7356810407361
MA010120220802514702,인생네컷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11710,송파구,11710650,잠실본동,1171010100,잠실동,1171010100101910007,서울특별시 송파구 잠실동 191-7,117104169204,서울특별시 송파구 백제고분로7길,서울특별시 송파구 백제고분로7길 24,138862,5560,127.081473101966,37.5104643188326,서울특별시,송파구,잠실동,191-7,송파구 잠실동,39,248,79,0,잠실새내역,잠실/송파,테헤란로,32.5,34.3,69.8,11717.436392356334,10872.194556970482,9251.763731296509,46.32379452066187
MA010120220805227736,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000101290004,서울특별시 용산구 이태원동 129-4,111704106307,서울특별시 용산구 이태원로26길,서울특별시 용산구 이태원로26길 16,140865,4391,126.993273390631,37.5336863953628,서울특별시,용산구,이태원동,129-4,용산구 이태원동,16,478,15,0,이태원,신사역,용산역,63.4,71.4,34.1,4893.509926556352,3321.0374462791488,4403.890101052917,56.81015723431098
MA0101202307A0002079,키다리아저씨사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100100640000,서울특별시 송파구 방이동 64,117104169374,서울특별시 송파구 오금로11길,서울특별시 송파구 오금로11길 6,138828,5548,127.107930494176,37.5142262767855,서울특별시,송파구,방이동,64,송파구 방이동,25,260,82,0,잠실/송파,잠실새내역,가락시장,34.3,32.5,30.7,13410.701373116555,12772.010039762374,10736.45595480681,32.43480836519121
MA010120220805962116,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11200,성동구,11200660,성수1가2동,1120011400,성수동1가,1120011400106680049,서울특별시 성동구 성수동1가 668-49,112004109318,서울특별시 성동구 서울숲2길,서울특별시 성동구 서울숲2길 45,133824,4768,127.043596479259,37.546440049218,서울특별시,성동구,성수동1가,668-49,성동구 성수동1가,41,154,30,0,왕십리,청담,압구정,45.0,63.0,50.6,6697.802317022761,6216.238197456169,4060.657491234841,52.83433388152743
MA0101202211A0092531,에브리세컨드,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11200,성동구,11200660,성수1가2동,1120011400,성수동1가,1120011400106680023,서울특별시 성동구 성수동1가 668-23,112004109319,서울특별시 성동구 서울숲4길,서울특별시 성동구 서울숲4길 23-1,133824,4768,127.043677564521,37.5471795661395,서울특별시,성동구,성수동1가,668-23,성동구 성수동1가,45,150,31,0,왕십리,청담,압구정,45.0,63.0,50.6,6664.323477394743,6203.853695669803,4011.034176510024,52.826735043106936
MA0106202305A2269532,에브리세컨드,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100108170006,서울특별시 강남구 역삼동 817-6,116804166722,서울특별시 강남구 테헤란로1길,서울특별시 강남구 테헤란로1길 32,135931,6129,127.02744588141,37.5003905506072,서울특별시,강남구,역삼동,817-6,강남구 역삼동,30,540,86,0,강남대로,교대역,논현역,86.3,41.0,66.1,9477.665719424895,8059.598687999085,8008.242219368425,63.862308953094264
MA0101202311A0052552,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350600,공릉2동,1135010300,공릉동,1135010300103200103,서울특별시 노원구 공릉동 320-103,113504130006,서울특별시 노원구 공릉로27길,서울특별시 노원구 공릉로27길 16,139802,1837,127.078293729234,37.6217010131149,서울특별시,노원구,공릉동,320-103,노원구 공릉동,40,137,66,0,상봉역,경희대,상계역,46.5,46.7,26.2,10250.523856634914,11384.841364654538,8256.802038915572,39.21554241915348
MA010120220804047300,포토하임,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200111240084,서울특별시 구로구 구로동 1124-84,115304148338,서울특별시 구로구 디지털로32나길,서울특별시 구로구 디지털로32나길 19,152880,8391,126.900418309954,37.4840847755536,서울특별시,구로구,구로동,1124-84,구로구 구로동,38,234,116,0,독산/시흥,신림역,영등포역,31.2,70.9,34.1,12260.487528898486,10714.969839447886,13663.25489084668,46.15414730572496
